,Blue_champ_1,Blue_champ_2,Blue_champ_3,Blue_champ_4,Blue_champ_5,Red_champ_1,Red_champ_2,Red_champ_3,Red_champ_4,Red_champ_5,blueAssists,blueAvgLevel,blueCSPerMin,blueDeaths,blueDragons,blueEliteMonsters,blueExperienceDiff,blueFirstBlood,blueGoldDiff,blueGoldPerMin,blueHeralds,blueKills,blueTotalExperience,blueTotalGold,blueTotalJungleMinionsKilled,blueTotalMinionsKilled,blueTowersDestroyed,blueWardsDestroyed,blueWardsPlaced,blueWins,gameId,lowest_lvl_blue,lowest_lvl_red,redAssists,redAvgLevel,redCSPerMin,redDeaths,redDragons,redEliteMonsters,redExperienceDiff,redFirstBlood,redGoldDiff,redGoldPerMin,redHeralds,redKills,redTotalExperience,redTotalGold,redTotalJungleMinionsKilled,redTotalMinionsKilled,redTowersDestroyed,redWardsDestroyed,redWardsPlaced
10,Taliyah,Kled,Riven,Nautilus,Twitch,Rumble,Ahri,Graves,Senna,Janna,5.0,6.4,19.2,9.0,0.0,0.0,-1095.0,1.0,-2519.0,1442.0,0.0,4.0,15196.0,14420.0,32.0,192.0,0.0,3.0,12.0,0.0,4395598976.0,97.0,54.0,15.0,6.4,19.4,4.0,0.0,0.0,1095.0,0.0,2519.0,1693.9,0.0,9.0,16291.0,16939.0,46.0,194.0,0.0,3.0,18.0
11,Aatrox,Pyke,LeBlanc,Kai'Sa,Nidalee,Xerath,Shen,Karthus,Zed,Thresh,3.0,6.6,21.4,9.0,1.0,1.0,-2642.0,0.0,-2572.0,1536.7,0.0,4.0,17109.0,15367.0,54.0,214.0,0.0,4.0,31.0,0.0,4521352083.0,113.0,63.0,12.0,7.0,19.8,4.0,0.0,1.0,2642.0,1.0,2572.0,1793.9,1.0,9.0,19751.0,17939.0,70.0,198.0,0.0,0.0,45.0
12,Aatrox,LeBlanc,Nami,Lee Sin,Jhin,Rengar,Cassiopeia,Jax,Galio,Senna,9.0,6.6,19.5,5.0,1.0,1.0,-889.0,1.0,-729.0,1540.1,0.0,6.0,16508.0,15401.0,32.0,195.0,0.0,5.0,25.0,1.0,4518948833.0,85.0,49.0,5.0,6.6,19.1,6.0,0.0,0.0,889.0,0.0,729.0,1613.0,0.0,5.0,17397.0,16130.0,51.0,191.0,0.0,2.0,18.0
13,Nami,Ashe,Nidalee,Lucian,LeBlanc,Senna,Draven,Cassiopeia,Gragas,Fiora,5.0,6.4,18.0,9.0,0.0,0.0,118.0,0.0,-1729.0,1544.0,0.0,5.0,15725.0,15440.0,43.0,180.0,0.0,3.0,37.0,1.0,4523591734.0,167.0,124.0,8.0,6.4,18.5,5.0,0.0,0.0,-118.0,1.0,1729.0,1716.9,0.0,9.0,15607.0,17169.0,44.0,185.0,0.0,2.0,17.0
14,Blitzcrank,Gnar,Kai'Sa,Kha'Zix,Lux,Kassadin,Ezreal,Bard,Aatrox,Shaco,11.0,7.2,24.4,5.0,0.0,0.0,879.0,1.0,1299.0,1746.7,0.0,7.0,19153.0,17467.0,48.0,244.0,0.0,3.0,15.0,0.0,4514848234.0,65.0,150.0,5.0,7.0,24.1,7.0,0.0,0.0,-879.0,0.0,-1299.0,1616.8,0.0,5.0,18274.0,16168.0,43.0,241.0,0.0,3.0,36.0
15,Irelia,Jhin,Akali,Rek'Sai,Zilean,Lee Sin,Gragas,Camille,Lulu,Vayne,14.0,7.6,23.5,4.0,1.0,2.0,6466.0,1.0,7482.0,2141.6,1.0,18.0,21031.0,21416.0,57.0,235.0,0.0,2.0,22.0,1.0,4471506446.0,73.0,52.0,3.0,6.0,14.4,18.0,0.0,0.0,-6466.0,0.0,-7482.0,1393.4,0.0,4.0,14565.0,13934.0,39.0,144.0,0.0,0.0,16.0
16,Ziggs,Senna,Ornn,Lee Sin,Tryndamere,Rek'Sai,Maokai,Orianna,Jinx,Cho'Gath,11.0,7.0,21.0,3.0,0.0,0.0,459.0,1.0,2199.0,1732.0,0.0,7.0,18039.0,17320.0,44.0,210.0,0.0,4.0,18.0,0.0,4475174876.0,124.0,99.0,4.0,6.8,23.4,7.0,0.0,0.0,-459.0,0.0,-2199.0,1512.1,0.0,3.0,17580.0,15121.0,49.0,234.0,0.0,2.0,14.0
17,Xayah,Rakan,Rek'Sai,Poppy,Ziggs,Thresh,Varus,Syndra,Aatrox,Kindred,1.0,6.6,21.4,5.0,1.0,1.0,-1778.0,0.0,-2425.0,1412.8,0.0,2.0,16843.0,14128.0,45.0,214.0,0.0,4.0,15.0,0.0,4488885595.0,150.0,141.0,4.0,7.2,23.3,2.0,0.0,0.0,1778.0,1.0,2425.0,1655.3,0.0,5.0,18621.0,16553.0,55.0,233.0,0.0,3.0,19.0
18,Karthus,Miss Fortune,Talon,Renekton,Thresh,Lucian,Qiyana,Ekko,Shen,Braum,13.0,7.6,26.2,4.0,0.0,0.0,3377.0,1.0,4185.0,1897.8,0.0,10.0,21014.0,18978.0,56.0,262.0,0.0,3.0,14.0,0.0,4438793603.0,48.0,65.0,3.0,6.8,20.5,10.0,0.0,0.0,-3377.0,0.0,-4185.0,1479.3,0.0,4.0,17637.0,14793.0,52.0,205.0,0.0,4.0,52.0
19,Aatrox,Gragas,Ezreal,Thresh,Yasuo,Kai'Sa,Camille,Jarvan IV,Azir,Sett,8.0,6.4,19.1,11.0,0.0,0.0,-2891.0,0.0,-2596.0,1588.7,0.0,6.0,16048.0,15887.0,48.0,191.0,0.0,4.0,19.0,0.0,4489785292.0,127.0,62.0,13.0,7.2,22.0,6.0,0.0,0.0,2891.0,1.0,2596.0,1848.3,0.0,11.0,18939.0,18483.0,51.0,220.0,0.0,5.0,15.0
20,Singed,Yuumi,Lucian,Janna,Kindred,Rengar,Zoe,Olaf,Lulu,Tristana,0.0,6.2,20.8,7.0,1.0,1.0,-3171.0,0.0,-3574.0,1374.9,0.0,1.0,16076.0,13749.0,43.0,208.0,0.0,0.0,17.0,1.0,4497870077.0,120.0,163.0,9.0,7.2,22.2,1.0,0.0,0.0,3171.0,1.0,3574.0,1732.3,0.0,7.0,19247.0,17323.0,67.0,222.0,0.0,3.0,25.0
21,Ziggs,Hecarim,Lulu,Lucian,Rakan,Brand,Varus,Elise,Maokai,Renekton,2.0,7.0,23.2,7.0,0.0,0.0,-1467.0,0.0,-1822.0,1563.2,0.0,3.0,18400.0,15632.0,72.0,232.0,0.0,1.0,17.0,1.0,4509444763.0,197.0,182.0,6.0,7.4,24.4,3.0,1.0,2.0,1467.0,1.0,1822.0,1745.4,1.0,7.0,19867.0,17454.0,52.0,244.0,0.0,4.0,16.0
22,Yuumi,Azir,Zac,Ezreal,Garen,Diana,Aatrox,Cassiopeia,Lux,Sivir,7.0,7.0,22.2,5.0,0.0,0.0,557.0,1.0,-146.0,1611.0,0.0,5.0,18673.0,16110.0,53.0,222.0,0.0,2.0,20.0,0.0,4442215686.0,184.0,147.0,7.0,7.0,21.7,5.0,0.0,0.0,-557.0,0.0,146.0,1625.6,0.0,5.0,18116.0,16256.0,64.0,217.0,0.0,4.0,15.0
23,Maokai,Singed,Nunu & Willump,Irelia,Kassadin,Yuumi,Ezreal,Galio,Wukong,Rek'Sai,10.0,6.8,20.9,11.0,0.0,1.0,-1411.0,1.0,1051.0,1814.2,1.0,7.0,16864.0,18142.0,43.0,209.0,1.0,6.0,11.0,0.0,4526299418.0,110.0,98.0,8.0,7.2,18.3,7.0,1.0,1.0,1411.0,0.0,-1051.0,1709.1,0.0,11.0,18275.0,17091.0,48.0,183.0,0.0,3.0,20.0
24,Ezreal,Blitzcrank,Karma,Elise,Riven,Zac,Janna,Caitlyn,Cassiopeia,Volibear,14.0,7.4,23.4,3.0,1.0,1.0,2399.0,1.0,4188.0,1903.1,0.0,12.0,18999.0,19031.0,40.0,234.0,0.0,5.0,16.0,0.0,4296354535.0,94.0,88.0,2.0,6.6,20.7,12.0,0.0,1.0,-2399.0,0.0,-4188.0,1484.3,1.0,3.0,16600.0,14843.0,52.0,207.0,0.0,1.0,19.0
25,Caitlyn,Jax,Karma,Zed,Kha'Zix,Senna,Irelia,Yasuo,Elise,Viktor,9.0,7.0,18.4,8.0,1.0,1.0,766.0,0.0,706.0,1734.4,0.0,10.0,18253.0,17344.0,48.0,184.0,0.0,4.0,12.0,0.0,4450553888.0,73.0,98.0,7.0,6.6,20.6,10.0,0.0,1.0,-766.0,1.0,-706.0,1663.8,1.0,8.0,17487.0,16638.0,40.0,206.0,0.0,2.0,21.0
26,Pyke,Senna,Lee Sin,Ornn,Vel'Koz,Kalista,Nasus,Talon,Taric,Fiddlesticks,2.0,6.8,22.3,4.0,0.0,1.0,-298.0,0.0,-564.0,1552.7,1.0,3.0,18231.0,15527.0,48.0,223.0,0.0,6.0,16.0,0.0,4500687748.0,77.0,72.0,7.0,7.0,24.6,3.0,1.0,1.0,298.0,1.0,564.0,1609.1,0.0,4.0,18529.0,16091.0,67.0,246.0,0.0,4.0,19.0
27,Riven,Lucian,Zoe,Bard,Shyvana,Katarina,Elise,Camille,Varus,Yuumi,4.0,7.0,19.2,5.0,1.0,1.0,2257.0,1.0,976.0,1674.9,0.0,7.0,18142.0,16749.0,60.0,192.0,0.0,3.0,44.0,1.0,4519607934.0,68.0,76.0,8.0,6.6,20.9,7.0,0.0,0.0,-2257.0,0.0,-976.0,1577.3,0.0,5.0,15885.0,15773.0,35.0,209.0,0.0,2.0,13.0
28,Viktor,Jarvan IV,Thresh,Kai'Sa,Wukong,Mordekaiser,Qiyana,Kha'Zix,Bard,Ezreal,1.0,6.6,25.4,0.0,0.0,0.0,-311.0,1.0,1221.0,1481.2,0.0,1.0,17296.0,14812.0,53.0,254.0,0.0,4.0,15.0,1.0,4474939096.0,52.0,94.0,0.0,6.8,21.4,1.0,1.0,1.0,311.0,0.0,-1221.0,1359.1,0.0,0.0,17607.0,13591.0,60.0,214.0,0.0,3.0,37.0
29,Ekko,Aphelios,Thresh,LeBlanc,Poppy,Camille,Lee Sin,Heimerdinger,Tristana,Nami,5.0,7.2,21.3,9.0,0.0,0.0,267.0,0.0,-900.0,1615.8,0.0,6.0,18018.0,16158.0,48.0,213.0,0.0,2.0,17.0,0.0,4523981551.0,53.0,58.0,12.0,6.8,17.7,6.0,1.0,2.0,-267.0,1.0,900.0,1705.8,1.0,9.0,17751.0,17058.0,48.0,177.0,0.0,4.0,17.0
30,Pantheon,Zac,Diana,Karma,Draven,Ekko,Lucian,Nautilus,Sylas,Aatrox,17.0,7.2,20.8,6.0,1.0,1.0,2572.0,1.0,4311.0,2001.0,0.0,12.0,20053.0,20010.0,56.0,208.0,0.0,3.0,16.0,1.0,4447488924.0,58.0,123.0,5.0,6.8,21.4,12.0,0.0,0.0,-2572.0,0.0,-4311.0,1569.9,0.0,6.0,17481.0,15699.0,33.0,214.0,0.0,4.0,17.0
31,Ryze,Senna,Varus,Teemo,Lee Sin,Kog'Maw,Cassiopeia,Lulu,Tryndamere,Karthus,12.0,7.8,23.8,3.0,0.0,1.0,4426.0,1.0,6577.0,2120.2,1.0,15.0,21701.0,21202.0,59.0,238.0,0.0,4.0,26.0,1.0,4473949665.0,124.0,160.0,3.0,7.0,18.8,15.0,0.0,0.0,-4426.0,0.0,-6577.0,1462.5,0.0,3.0,17275.0,14625.0,57.0,188.0,0.0,1.0,16.0
32,Lee Sin,Aphelios,Syndra,Nautilus,Blitzcrank,Rek'Sai,Katarina,Akali,Thresh,Miss Fortune,6.0,6.8,21.1,10.0,0.0,0.0,-1740.0,0.0,-2028.0,1599.4,0.0,5.0,17730.0,15994.0,50.0,211.0,0.0,1.0,16.0,0.0,4517631475.0,172.0,70.0,7.0,7.2,24.2,5.0,1.0,1.0,1740.0,1.0,2028.0,1802.2,0.0,10.0,19470.0,18022.0,58.0,242.0,0.0,3.0,12.0
33,Rek'Sai,Zoe,Mordekaiser,Sett,Aphelios,Thresh,Kai'Sa,Twisted Fate,Lee Sin,Kled,7.0,6.6,20.4,14.0,1.0,1.0,-2062.0,0.0,-4526.0,1588.0,0.0,6.0,16941.0,15880.0,45.0,204.0,0.0,1.0,23.0,0.0,4481806461.0,79.0,57.0,23.0,7.0,20.1,6.0,0.0,0.0,2062.0,1.0,4526.0,2040.6,0.0,14.0,19003.0,20406.0,49.0,201.0,0.0,2.0,18.0
34,Ekko,Corki,Swain,Jarvan IV,Dr. Mundo,Syndra,Kindred,Vayne,Maokai,Aatrox,7.0,7.0,19.9,10.0,0.0,0.0,-1561.0,0.0,-1360.0,1756.3,0.0,7.0,17585.0,17563.0,41.0,199.0,0.0,0.0,9.0,0.0,4519431177.0,130.0,59.0,11.0,7.2,24.4,7.0,1.0,1.0,1561.0,1.0,1360.0,1892.3,0.0,10.0,19146.0,18923.0,54.0,244.0,0.0,0.0,15.0
35,Renekton,Kai'Sa,Ekko,Cassiopeia,Bard,Ezreal,Thresh,Maokai,Sett,Syndra,10.0,7.2,22.8,6.0,0.0,0.0,-433.0,0.0,-65.0,1728.1,0.0,6.0,18317.0,17281.0,53.0,228.0,0.0,4.0,37.0,1.0,4525827145.0,69.0,120.0,6.0,7.2,24.6,6.0,1.0,1.0,433.0,1.0,65.0,1734.6,0.0,6.0,18750.0,17346.0,55.0,246.0,0.0,6.0,13.0
36,Shen,Cassiopeia,Kai'Sa,Pantheon,Nautilus,Gragas,Lucian,Jhin,Qiyana,Braum,9.0,6.6,22.6,4.0,1.0,1.0,-120.0,1.0,-1300.0,1531.7,0.0,4.0,16907.0,15317.0,52.0,226.0,0.0,4.0,50.0,0.0,4478776750.0,161.0,130.0,7.0,6.8,21.1,4.0,0.0,1.0,120.0,0.0,1300.0,1661.7,1.0,4.0,17027.0,16617.0,48.0,211.0,1.0,2.0,18.0
37,Vel'Koz,Warwick,Thresh,Vladimir,Draven,Sett,Pyke,Jinx,Nunu & Willump,Xerath,7.0,7.0,24.1,4.0,1.0,2.0,1194.0,0.0,986.0,1698.5,1.0,7.0,19175.0,16985.0,52.0,241.0,0.0,3.0,89.0,1.0,4430925118.0,73.0,95.0,5.0,7.0,26.7,7.0,0.0,0.0,-1194.0,1.0,-986.0,1599.9,0.0,4.0,17981.0,15999.0,48.0,267.0,0.0,1.0,17.0
38,Lee Sin,Braum,Tristana,Anivia,Teemo,Janna,Ziggs,Zyra,Rek'Sai,Lucian,2.0,6.8,22.3,12.0,0.0,0.0,-1446.0,0.0,-3960.0,1519.7,0.0,3.0,17692.0,15197.0,60.0,223.0,0.0,1.0,25.0,0.0,4458615425.0,54.0,119.0,15.0,7.0,21.6,3.0,1.0,2.0,1446.0,1.0,3960.0,1915.7,1.0,12.0,19138.0,19157.0,52.0,216.0,0.0,4.0,93.0
39,Karthus,Hecarim,Bard,Ezreal,Tristana,Thresh,Xayah,Wukong,Elise,Camille,8.0,6.8,18.0,11.0,0.0,0.0,-730.0,1.0,-2298.0,1707.2,0.0,8.0,17724.0,17072.0,63.0,180.0,0.0,1.0,39.0,1.0,4513553506.0,71.0,93.0,5.0,7.0,24.2,8.0,1.0,2.0,730.0,0.0,2298.0,1937.0,1.0,11.0,18454.0,19370.0,48.0,242.0,1.0,2.0,13.0
40,Pantheon,Jarvan IV,Camille,Lux,Miss Fortune,Corki,Leona,Wukong,Ziggs,Aatrox,16.0,7.4,23.2,6.0,1.0,1.0,2257.0,1.0,3356.0,1936.4,0.0,11.0,19292.0,19364.0,49.0,232.0,0.0,3.0,18.0,1.0,4513125079.0,123.0,39.0,9.0,6.8,19.8,11.0,0.0,0.0,-2257.0,0.0,-3356.0,1600.8,0.0,6.0,17035.0,16008.0,41.0,198.0,0.0,3.0,18.0
41,Draven,Vladimir,Rengar,Sett,Braum,Renekton,Rumble,Shaco,Kai'Sa,Thresh,3.0,6.8,21.8,9.0,0.0,0.0,-1410.0,0.0,-1828.0,1616.3,0.0,5.0,18244.0,16163.0,60.0,218.0,0.0,1.0,12.0,0.0,4516564229.0,56.0,63.0,17.0,7.2,23.5,5.0,0.0,1.0,1410.0,1.0,1828.0,1799.1,1.0,9.0,19654.0,17991.0,54.0,235.0,0.0,0.0,15.0
42,Ezreal,Karma,Kindred,Diana,Fiora,Xerath,Cassiopeia,Jayce,Elise,Jhin,7.0,6.4,16.6,11.0,0.0,0.0,-2897.0,1.0,-2171.0,1617.1,0.0,7.0,16252.0,16171.0,52.0,166.0,0.0,1.0,20.0,0.0,4524113252.0,139.0,72.0,13.0,7.0,22.0,7.0,1.0,1.0,2897.0,0.0,2171.0,1834.2,0.0,11.0,19149.0,18342.0,43.0,220.0,0.0,5.0,21.0
43,Zilean,Fiddlesticks,Senna,Kayle,Talon,Fiora,Yuumi,Ezreal,Twisted Fate,Gragas,4.0,7.2,20.8,4.0,1.0,1.0,1765.0,1.0,1670.0,1736.1,0.0,6.0,19308.0,17361.0,72.0,208.0,0.0,4.0,11.0,1.0,4508068981.0,83.0,46.0,6.0,6.8,21.7,6.0,0.0,0.0,-1765.0,0.0,-1670.0,1569.1,0.0,4.0,17543.0,15691.0,55.0,217.0,0.0,1.0,14.0
44,Urgot,Bard,Elise,Varus,Kled,Ekko,Jax,Shen,Miss Fortune,Nautilus,10.0,7.2,22.9,1.0,1.0,1.0,1453.0,0.0,1532.0,1596.6,0.0,4.0,18955.0,15966.0,59.0,229.0,0.0,6.0,46.0,1.0,4515561021.0,117.0,153.0,1.0,7.2,22.9,4.0,0.0,0.0,-1453.0,1.0,-1532.0,1443.4,0.0,1.0,17502.0,14434.0,60.0,229.0,0.0,7.0,61.0
45,Leona,Sett,Nunu & Willump,Yasuo,Syndra,Poppy,Graves,Blitzcrank,Veigar,Ziggs,7.0,7.0,24.5,5.0,0.0,0.0,-656.0,0.0,192.0,1654.3,0.0,6.0,18558.0,16543.0,48.0,245.0,0.0,4.0,19.0,0.0,4509982374.0,123.0,99.0,7.0,7.2,24.5,6.0,1.0,1.0,656.0,1.0,-192.0,1635.1,0.0,5.0,19214.0,16351.0,56.0,245.0,0.0,4.0,18.0
46,Camille,Lee Sin,Swain,Draven,Irelia,Kai'Sa,Karma,Sett,Akali,Graves,5.0,6.8,20.9,13.0,0.0,0.0,-2348.0,0.0,-2154.0,1634.5,0.0,6.0,17662.0,16345.0,42.0,209.0,0.0,1.0,15.0,0.0,4510083368.0,96.0,173.0,13.0,7.4,22.5,6.0,0.0,0.0,2348.0,1.0,2154.0,1849.9,0.0,13.0,20010.0,18499.0,36.0,225.0,0.0,1.0,15.0
47,Varus,Illaoi,Heimerdinger,Volibear,Fizz,Lee Sin,Kog'Maw,Lulu,Neeko,Vayne,5.0,7.2,20.8,5.0,0.0,0.0,388.0,0.0,-866.0,1581.0,0.0,5.0,18914.0,15810.0,56.0,208.0,0.0,4.0,44.0,1.0,4502088283.0,157.0,78.0,3.0,6.8,25.3,5.0,1.0,1.0,-388.0,1.0,866.0,1667.6,0.0,5.0,18526.0,16676.0,51.0,253.0,0.0,15.0,16.0
48,Thresh,Senna,LeBlanc,Lee Sin,Renekton,Kindred,Camille,Ezreal,Malzahar,Sona,4.0,7.0,19.7,1.0,1.0,1.0,1165.0,1.0,2028.0,1582.3,0.0,5.0,17964.0,15823.0,48.0,197.0,0.0,3.0,17.0,1.0,4524934660.0,91.0,98.0,1.0,6.8,20.5,5.0,0.0,0.0,-1165.0,0.0,-2028.0,1379.5,0.0,1.0,16799.0,13795.0,46.0,205.0,0.0,3.0,13.0
49,Katarina,Nautilus,Fiora,Kai'Sa,Xin Zhao,Ekko,Leona,Kennen,Miss Fortune,Kassadin,2.0,6.8,22.0,5.0,1.0,1.0,-1885.0,1.0,-1866.0,1448.5,0.0,2.0,17287.0,14485.0,63.0,220.0,0.0,3.0,16.0,0.0,4464794186.0,87.0,105.0,4.0,7.4,25.3,2.0,0.0,0.0,1885.0,0.0,1866.0,1635.1,0.0,5.0,19172.0,16351.0,56.0,253.0,0.0,1.0,13.0
50,Nocturne,Varus,Xerath,Illaoi,Corki,Zoe,Irelia,Taliyah,Pantheon,Ashe,7.0,6.8,20.8,11.0,0.0,0.0,-1184.0,0.0,-2878.0,1579.0,0.0,4.0,17533.0,15790.0,47.0,208.0,0.0,6.0,34.0,1.0,4525996242.0,143.0,96.0,13.0,7.0,23.4,4.0,0.0,0.0,1184.0,1.0,2878.0,1866.8,0.0,11.0,18717.0,18668.0,44.0,234.0,0.0,10.0,24.0
51,Vladimir,Talon,Sett,Ezreal,Zac,Miss Fortune,Bard,Shyvana,Renekton,Akali,9.0,6.8,21.1,2.0,1.0,1.0,-1292.0,1.0,2394.0,1742.2,0.0,8.0,17192.0,17422.0,24.0,211.0,1.0,0.0,24.0,1.0,4526361954.0,60.0,46.0,3.0,7.0,21.0,8.0,0.0,0.0,1292.0,0.0,-2394.0,1502.8,0.0,2.0,18484.0,15028.0,76.0,210.0,0.0,5.0,36.0
52,Diana,Irelia,Elise,Nami,Aphelios,Wukong,Yasuo,Brand,Varus,Evelynn,7.0,6.4,19.6,7.0,1.0,1.0,-2554.0,1.0,-2164.0,1539.9,0.0,5.0,16243.0,15399.0,48.0,196.0,0.0,3.0,16.0,0.0,4511964473.0,81.0,88.0,8.0,7.0,21.4,5.0,0.0,0.0,2554.0,0.0,2164.0,1756.3,0.0,7.0,18797.0,17563.0,63.0,214.0,0.0,3.0,18.0
53,Senna,Sion,Sylas,Tahm Kench,Diana,Corki,Braum,Ekko,Pantheon,Ezreal,3.0,7.0,23.3,5.0,0.0,0.0,521.0,0.0,-554.0,1602.6,0.0,3.0,18490.0,16026.0,57.0,233.0,0.0,0.0,14.0,1.0,4521227315.0,54.0,84.0,6.0,6.8,23.4,3.0,1.0,1.0,-521.0,1.0,554.0,1658.0,0.0,5.0,17969.0,16580.0,44.0,234.0,0.0,1.0,11.0
54,Galio,Vayne,Sett,Orianna,Olaf,Taliyah,Ezreal,Yuumi,Shen,Gangplank,17.0,7.4,27.2,3.0,1.0,2.0,3244.0,1.0,5512.0,2101.6,1.0,12.0,20144.0,21016.0,59.0,272.0,1.0,3.0,18.0,1.0,4436503508.0,91.0,150.0,6.0,6.6,21.2,12.0,0.0,0.0,-3244.0,0.0,-5512.0,1550.4,0.0,3.0,16900.0,15504.0,56.0,212.0,0.0,1.0,50.0
